TYPE,RC,Site,MRBTS_Id,MRBTS_Name,NRBTS_Name,NRBTS_Id,LNBTS_Name,LNBTS_Id,RNC_Name,RNC_Id,WBTS_Name,WBTS_Id,BSC_Name,BSC_Id,BCF_Name,BCF_Id,SMOD,BBMOD,RMOD_5G,RMOD_LTE,RMOD_3G,RMOD_2G,RMOD_RFS_SA,TECH_RFS_SA,creation_date
SRAN/LTE,rc8,CF02148,1980,CF02148L100,,,CF02148L100,1980,,,,,,,,,FSMF,FBBC+FBBC,,FRPA-4/FRIJ-1/FRIJ-2/FRIJ-3,,,,,7/23/24
SRAN/LTE,rc8,CF02149,81560,CF02149GUL-81560,,,CF02149L200,30057,RJOND,356,CF02149U100,4174,BSAL3,403163,CF02149G100,1795,FSMF,FBBA+FBBA,,FXFC-3/FXFC-2,FXFC-3/FXFC-2,FXFC-3/FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02149,2019,CF02149L100,,,CF02149L100,2019,,,,,,,,,FSMF,FBBC+FBBC,,FRPA-4/FRIJ-1/FRIJ-2/FRIJ-3,,,,,7/23/24
SRAN/LTE,rc8,CF02151,70225,CF02151UL-70225,,,CF02151L100,4828,RJONG,371,CF02151U100,8044,,,,,ASIB,ABIA+ABIO,,AHFII-1/AHFII-2/AHFII-3/AHPB-4/AHPB-5/AHHB-6/AHHB-7/AHHB-8,AHFII-1/AHFII-2/AHFII-3,,,,7/23/24
SRAN/LTE,rc8,CF02153,1998,CF02153L100,,,CF02153L100,1998,,,,,,,,,FSMF,FBBC,,FRIJ-1/FRIJ-2,,,,,7/23/24
SRAN/LTE,rc8,CF02154,70378,CF02154L-70378,,,CF02154L200,8227,,,,,,,,,FSMF,FBBA+FBBA,,FXFC-1,,,,,7/23/24
SRAN/LTE,rc8,CF02154,1164,CF02154L100,,,CF02154L100,1164,,,,,,,,,FSMF,FBBC,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02155,71194,CF02155GU-71194,,,,,RTORH,369,CF02155U100,4311,BSAL3,403163,CF02155G100,2419,FSMF,FBBA+FBBA,,,FXFC-1,FXFA-2,,,7/23/24
SRAN/LTE,rc8,CF02155,775,CF02155L100,,,CF02155L100,775,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02156,71197,CF02156G-71197,,,,,,,,,BLAU5,405956,CF02156G100,739,FSMF,FBBA,,,,FXFC-1,,,7/23/24
